entries=2233
i,zai,name
769,451101,Rh110m
770,451110,Rh111
771,451120,Rh112
772,451121,Rh112m
773,451130,Rh113
774,451140,Rh114
775,451141,Rh114m
776,460960,Pd96
777,460970,Pd97
778,460980,Pd98
779,460990,Pd99
780,461000,Pd100
781,461010,Pd101
782,461020,Pd102
783,461030,Pd103
784,461040,Pd104
785,461050,Pd105
786,461060,Pd106
787,461070,Pd107
788,461071,Pd107m
789,461080,Pd108
790,461090,Pd109
791,461091,Pd109m
792,461100,Pd110
793,461110,Pd111
794,461111,Pd111m
795,461120,Pd112
796,461130,Pd113
797,461131,Pd113m
798,461140,Pd114
799,461150,Pd115
800,461151,Pd115m
801,461160,Pd116
802,461170,Pd117
803,461180,Pd118
804,471000,Ag100
805,471001,Ag100m
806,471010,Ag101
807,471011,Ag101m
808,471020,Ag102
809,471021,Ag102m
810,471030,Ag103
811,471031,Ag103m
812,471040,Ag104
813,471041,Ag104m
814,471050,Ag105
815,471051,Ag105m
816,471060,Ag106
817,471061,Ag106m
818,471070,Ag107
819,471071,Ag107m
820,471080,Ag108
821,471081,Ag108m
822,471090,Ag109
823,471091,Ag109m
824,471100,Ag110
825,471101,Ag110m
826,471110,Ag111
827,471111,Ag111m
828,471120,Ag112
829,471130,Ag113
830,471131,Ag113m
831,471140,Ag114
832,471141,Ag114m
833,471150,Ag115
834,471151,Ag115m
835,471160,Ag116
836,471161,Ag116m
837,471170,Ag117
838,471171,Ag117m
839,471180,Ag118
840,471181,Ag118m
841,471190,Ag119
842,471191,Ag119m
843,471200,Ag120
844,471210,Ag121
845,471220,Ag122
846,471221,Ag122m
847,481020,Cd102
848,481030,Cd103
849,481040,Cd104
850,481050,Cd105
851,481060,Cd106
852,481070,Cd107
853,481080,Cd108
854,481090,Cd109
855,481100,Cd110
856,481110,Cd111
857,481111,Cd111m
858,481120,Cd112
859,481130,Cd113
860,481131,Cd113m
861,481140,Cd114
862,481150,Cd115
863,481151,Cd115m
864,481160,Cd116
865,481170,Cd117
866,481171,Cd117m
867,481180,Cd118
868,481190,Cd119
869,481191,Cd119m
870,481200,Cd120
871,481210,Cd121
872,481211,Cd121m
