entries=2233,dt=8.346980000000000e+07
i,zai,name,n_0,n_dt
353,280710,Ni71,0.000000000000000e+00,0.000000000000000e+00
354,290560,Cu56,0.000000000000000e+00,0.000000000000000e+00
355,290570,Cu57,0.000000000000000e+00,0.000000000000000e+00
356,290580,Cu58,0.000000000000000e+00,0.000000000000000e+00
357,290590,Cu59,0.000000000000000e+00,0.000000000000000e+00
358,290600,Cu60,0.000000000000000e+00,0.000000000000000e+00
359,290610,Cu61,0.000000000000000e+00,0.000000000000000e+00
360,290620,Cu62,0.000000000000000e+00,0.000000000000000e+00
361,290630,Cu63,0.000000000000000e+00,0.000000000000000e+00
362,290640,Cu64,0.000000000000000e+00,0.000000000000000e+00
363,290650,Cu65,0.000000000000000e+00,0.000000000000000e+00
364,290660,Cu66,0.000000000000000e+00,0.000000000000000e+00
365,290670,Cu67,0.000000000000000e+00,0.000000000000000e+00
366,290680,Cu68,0.000000000000000e+00,0.000000000000000e+00
367,290681,Cu68m,0.000000000000000e+00,0.000000000000000e+00
368,290690,Cu69,0.000000000000000e+00,0.000000000000000e+00
369,290700,Cu70,0.000000000000000e+00,0.000000000000000e+00
370,290701,Cu70m,0.000000000000000e+00,0.000000000000000e+00
371,290702,Cu70n,0.000000000000000e+00,0.000000000000000e+00
372,290710,Cu71,0.000000000000000e+00,0.000000000000000e+00
373,290720,Cu72,0.000000000000000e+00,0.000000000000000e+00
374,290730,Cu73,0.000000000000000e+00,0.000000000000000e+00
375,290740,Cu74,0.000000000000000e+00,0.000000000000000e+00
376,290750,Cu75,0.000000000000000e+00,0.000000000000000e+00
377,300580,Zn58,0.000000000000000e+00,0.000000000000000e+00
378,300590,Zn59,0.000000000000000e+00,0.000000000000000e+00
379,300600,Zn60,0.000000000000000e+00,0.000000000000000e+00
380,300610,Zn61,0.000000000000000e+00,0.000000000000000e+00
381,300620,Zn62,0.000000000000000e+00,0.000000000000000e+00
382,300630,Zn63,0.000000000000000e+00,0.000000000000000e+00
383,300640,Zn64,0.000000000000000e+00,0.000000000000000e+00
384,300650,Zn65,0.000000000000000e+00,0.000000000000000e+00
385,300660,Zn66,0.000000000000000e+00,0.000000000000000e+00
386,300670,Zn67,0.000000000000000e+00,0.000000000000000e+00
387,300680,Zn68,0.000000000000000e+00,0.000000000000000e+00
388,300690,Zn69,0.000000000000000e+00,0.000000000000000e+00
389,300691,Zn69m,0.000000000000000e+00,0.000000000000000e+00
390,300700,Zn70,0.000000000000000e+00,0.000000000000000e+00
391,300710,Zn71,0.000000000000000e+00,0.000000000000000e+00
392,300711,Zn71m,0.000000000000000e+00,0.000000000000000e+00
393,300720,Zn72,0.000000000000000e+00,0.000000000000000e+00
394,300730,Zn73,0.000000000000000e+00,0.000000000000000e+00
395,300731,Zn73m,0.000000000000000e+00,0.000000000000000e+00
396,300732,Zn73n,0.000000000000000e+00,0.000000000000000e+00
397,300740,Zn74,0.000000000000000e+00,0.000000000000000e+00
398,300750,Zn75,0.000000000000000e+00,0.000000000000000e+00
399,300760,Zn76,0.000000000000000e+00,0.000000000000000e+00
400,310630,Ga63,0.000000000000000e+00,0.000000000000000e+00
401,310640,Ga64,0.000000000000000e+00,0.000000000000000e+00
402,310650,Ga65,0.000000000000000e+00,0.000000000000000e+00
403,310660,Ga66,0.000000000000000e+00,0.000000000000000e+00
404,310670,Ga67,0.000000000000000e+00,0.000000000000000e+00
405,310680,Ga68,0.000000000000000e+00,0.000000000000000e+00
406,310690,Ga69,0.000000000000000e+00,0.000000000000000e+00
407,310700,Ga70,0.000000000000000e+00,0.000000000000000e+00
408,310710,Ga71,0.000000000000000e+00,0.000000000000000e+00
409,310720,Ga72,0.000000000000000e+00,0.000000000000000e+00
410,310721,Ga72m,0.000000000000000e+00,0.000000000000000e+00
411,310730,Ga73,0.000000000000000e+00,0.000000000000000e+00
412,310740,Ga74,0.000000000000000e+00,0.000000000000000e+00
413,310741,Ga74m,0.000000000000000e+00,0.000000000000000e+00
414,310750,Ga75,0.000000000000000e+00,0.000000000000000e+00
415,310760,Ga76,0.000000000000000e+00,0.000000000000000e+00
416,310770,Ga77,0.000000000000000e+00,0.000000000000000e+00
