entries=2233,dt=1.000000000000000e+05
i,zai,name,n_0,n_dt
164,170430,Cl43,1.000000000000000e+20,0.000000000000000e+00
165,170440,Cl44,1.000000000000000e+20,0.000000000000000e+00
166,170450,Cl45,1.000000000000000e+20,0.000000000000000e+00
167,180330,Ar33,1.000000000000000e+20,3.175587263246095e-50
168,180340,Ar34,1.000000000000000e+20,9.328918077171463e-33
169,180350,Ar35,1.000000000000000e+20,2.338312376609174e-37
170,180360,Ar36,1.000000000000000e+20,2.760000007158696e+20
171,180370,Ar37,1.000000000000000e+20,2.189297593606464e+20
172,180380,Ar38,1.000000000000000e+20,8.256726543298951e+20
173,180390,Ar39,1.000000000000000e+20,3.897969310708915e+20
174,180400,Ar40,1.000000000000000e+20,3.842000000000174e+20
175,180410,Ar41,1.000000000000000e+20,7.961537257519248e+15
176,180420,Ar42,1.000000000000000e+20,1.999866892622298e+20
177,180430,Ar43,1.000000000000000e+20,0.000000000000000e+00
178,180440,Ar44,1.000000000000000e+20,1.882553535247421e-12
179,180450,Ar45,1.000000000000000e+20,0.000000000000000e+00
180,180460,Ar46,1.000000000000000e+20,3.490947486483866e-34
181,180470,Ar47,1.000000000000000e+20,0.000000000000000e+00
182,190360,K36,1.000000000000000e+20,0.000000000000000e+00
183,190370,K37,1.000000000000000e+20,0.000000000000000e+00
184,190380,K38,1.000000000000000e+20,2.114239807428378e-17
185,190381,K38m,1.000000000000000e+20,4.290364634834578e-32
186,190390,K39,1.000000000000000e+20,2.000030686574482e+20
187,190400,K40,1.000000000000000e+20,9.999999999982717e+19
188,190410,K41,1.000000000000000e+20,3.999920448580066e+20
189,190420,K42,1.000000000000000e+20,2.106451565921565e+19
190,190430,K43,1.000000000000000e+20,1.297411093430895e+20
191,190440,K44,1.000000000000000e+20,0.000000000000000e+00
192,190450,K45,1.000000000000000e+20,7.430410013722465e-07
193,190460,K46,1.000000000000000e+20,2.407053898014546e-20
194,190470,K47,1.000000000000000e+20,2.538682114555149e-30
195,190480,K48,1.000000000000000e+20,0.000000000000000e+00
196,200370,Ca37,1.000000000000000e+20,0.000000000000000e+00
197,200380,Ca38,1.000000000000000e+20,0.000000000000000e+00
198,200390,Ca39,1.000000000000000e+20,1.186248296886297e-32
199,200400,Ca40,1.000000000000000e+20,2.001000000001548e+20
200,200410,Ca41,1.000000000000000e+20,2.998999936047374e+20
201,200420,Ca42,1.000000000000000e+20,4.789487950785528e+20
202,200430,Ca43,1.000000000000000e+20,4.768398860024171e+20
203,200440,Ca44,1.000000000000000e+20,5.381161158384078e+20
204,200450,Ca45,1.000000000000000e+20,3.741744626670835e+20
205,200460,Ca46,1.000000000000000e+20,3.010000000000002e+20
206,200470,Ca47,1.000000000000000e+20,2.505573761301543e+20
207,200480,Ca48,1.000000000000000e+20,1.999999999999998e+20
208,200490,Ca49,1.000000000000000e+20,0.000000000000000e+00
209,210400,Sc40,1.000000000000000e+20,3.306228720911801e-49
210,210410,Sc41,1.000000000000000e+20,0.000000000000000e+00
211,210420,Sc42,1.000000000000000e+20,2.666651466393706e-34
212,210421,Sc42m,1.000000000000000e+20,0.000000000000000e+00
213,210430,Sc43,1.000000000000000e+20,1.419004654492955e+18
214,210440,Sc44,1.000000000000000e+20,5.895813326520410e+18
215,210441,Sc44m,1.000000000000000e+20,7.199539235927411e+19
216,210450,Sc45,1.000000000000000e+20,4.014399633007339e+20
217,210451,Sc45m,1.000000000000000e+20,1.467903226491409e+08
218,210460,Sc46,1.000000000000000e+20,1.980944327025542e+20
219,210461,Sc46m,1.000000000000000e+20,8.127336032493440e-30
220,210470,Sc47,1.000000000000000e+20,1.216388761251665e+20
221,210480,Sc48,1.000000000000000e+20,6.434572595739832e+19
222,210490,Sc49,1.000000000000000e+20,3.652226312534326e+11
223,210500,Sc50,1.000000000000000e+20,2.243637785416008e-20
224,210501,Sc50m,1.000000000000000e+20,4.081825992575262e-42
225,210510,Sc51,1.000000000000000e+20,0.000000000000000e+00
226,210520,Sc52,1.000000000000000e+20,1.744304909010830e-34
227,220410,Ti41,1.000000000000000e+20,1.996000013618577e-61
228,220420,Ti42,1.000000000000000e+20,0.000000000000000e+00
229,220430,Ti43,1.000000000000000e+20,8.167193961555976e-38
230,220440,Ti44,1.000000000000000e+20,1.999932784757974e+20
231,220450,Ti45,1.000000000000000e+20,3.855740314863974e+17
232,220460,Ti46,1.000000000000000e+20,3.019055672974459e+20
233,220470,Ti47,1.000000000000000e+20,3.270837477446791e+20
234,220480,Ti48,1.000000000000000e+20,1.438895105969614e+20
235,220490,Ti49,1.000000000000000e+20,3.007108406156649e+20
236,220500,Ti50,1.000000000000000e+20,2.999999999999996e+20
237,220510,Ti51,1.000000000000000e+20,1.663840409512469e-20
238,220520,Ti52,1.000000000000000e+20,2.279831509374020e-20
239,220530,Ti53,1.000000000000000e+20,0.000000000000000e+00
240,220540,Ti54,1.000000000000000e+20,4.093462921426912e-36
241,220550,Ti55,1.000000000000000e+20,0.000000000000000e+00
242,230440,V44,1.000000000000000e+20,1.092286292218622e-53
243,230450,V45,1.000000000000000e+20,0.000000000000000e+00
244,230460,V46,1.000000000000000e+20,1.254466071739748e-39
245,230470,V47,1.000000000000000e+20,6.074571347182893e+04
246,230480,V48,1.000000000000000e+20,2.097176686273389e+20
247,230490,V49,1.000000000000000e+20,2.992891590189144e+20
248,230500,V50,1.000000000000000e+20,1.000000000000000e+20
249,230510,V51,1.000000000000000e+20,3.076091016598657e+20
250,230520,V52,1.000000000000000e+20,0.000000000000000e+00
251,230530,V53,1.000000000000000e+20,6.698034509963975e-21
252,230540,V54,1.000000000000000e+20,4.255645466931616e-23
253,230550,V55,1.000000000000000e+20,0.000000000000000e+00
254,230560,V56,1.000000000000000e+20,0.000000000000000e+00
255,230570,V57,1.000000000000000e+20,4.081825992575262e-42
256,230580,V58,1.000000000000000e+20,1.691200303357189e-47
